train_label, mse, rmse, mae, r2
MLPRegressor_15,20.23338,4.49815,3.28069,0.78377
MLPRegressor_16,19.04050,4.36354,3.40277,0.80174
MLPRegressor_17,16.44343,4.05505,3.03552,0.80226
MLPRegressor_18,12.19072,3.49152,2.63481,0.87769
MLPRegressor_19,13.43266,3.66506,2.91072,0.85208
MLPRegressor_20,25.07124,5.00712,4.08843,0.75391
MLPRegressor_21,20.27125,4.50236,3.61207,0.76432
MLPRegressor_22,21.47040,4.63362,3.61694,0.78318
MLPRegressor_23,18.81259,4.33735,3.26337,0.79852
MLPRegressor_24,19.40470,4.40508,3.29484,0.79977
MLPRegressor_25,13.03880,3.61093,2.77752,0.86509
MLPRegressor_26,20.19030,4.49336,3.39246,0.79386
MLPRegressor_27,22.00208,4.69064,3.82682,0.76708
MLPRegressor_28,18.77590,4.33312,3.40581,0.80673
MLPRegressor_29,17.97327,4.23949,3.18668,0.80120
MLPRegressor_30,30.25575,5.50052,4.47906,0.70514
MLPRegressor_31,9.56487,3.09271,2.39421,0.89016
MLPRegressor_32,12.55854,3.54380,2.78626,0.85879
MLPRegressor_33,11.42875,3.38064,2.64028,0.87305
MLPRegressor_34,11.96412,3.45892,2.66467,0.86812
MLPRegressor_35,12.21735,3.49533,2.73353,0.85430
MLPRegressor_36,12.87245,3.58782,2.68953,0.85569
MLPRegressor_37,17.63431,4.19932,3.27587,0.80198
MLPRegressor_38,17.31218,4.16079,3.08148,0.81323
MLPRegressor_39,14.22499,3.77160,2.83720,0.86294
MLPRegressor_40,14.20378,3.76879,2.91842,0.84783
MLPRegressor_41,13.65001,3.69459,2.83825,0.83295
MLPRegressor_42,23.20534,4.81719,3.71071,0.73281
MLPRegressor_43,20.72582,4.55256,3.55662,0.77582
MLPRegressor_44,11.72266,3.42384,2.54196,0.87899
MLPRegressor_45,17.73074,4.21079,3.15003,0.80983
MLPRegressor_46,22.14466,4.70581,3.71630,0.78155
MLPRegressor_47,10.89974,3.30148,2.48487,0.88361
MLPRegressor_48,20.90014,4.57167,3.41498,0.77912
MLPRegressor_49,18.08139,4.25222,3.29558,0.79750
MLPRegressor_50,21.55131,4.64234,3.59189,0.78972
MLPRegressor_51,19.70557,4.43910,3.31350,0.77960
MLPRegressor_52,11.85532,3.44316,2.70839,0.85937
MLPRegressor_53,12.55284,3.54300,2.71595,0.85530
MLPRegressor_54,20.31976,4.50774,3.60857,0.77117
MLPRegressor_55,18.14855,4.26011,3.15287,0.80796
MLPRegressor_56,12.47522,3.53203,2.80453,0.86614
MLPRegressor_57,17.90455,4.23138,3.17057,0.82180
MLPRegressor_58,11.45503,3.38453,2.70138,0.88021
MLPRegressor_59,29.50818,5.43214,4.28124,0.69039
MLPRegressor_60,18.08538,4.25269,3.29403,0.81212
MLPRegressor_61,21.14341,4.59820,3.55589,0.76506
MLPRegressor_62,16.87285,4.10766,3.02151,0.80069
MLPRegressor_63,17.41804,4.17349,3.11545,0.81773
MLPRegressor_64,21.57417,4.64480,3.71648,0.76907
MLPRegressor_65,23.64077,4.86218,3.59539,0.75929
