train_label, mse, rmse, mae, r2
MLPRegressor_48,22.03178,4.69380,3.38386,0.78593
MLPRegressor_49,30.09664,5.48604,4.48324,0.67839
MLPRegressor_50,14.66677,3.82972,2.93945,0.83871
MLPRegressor_51,19.86819,4.45737,3.32743,0.76710
MLPRegressor_52,21.29686,4.61485,3.52606,0.76495
MLPRegressor_53,18.77806,4.33337,3.40975,0.79454
MLPRegressor_54,15.82102,3.97756,3.10067,0.84083
MLPRegressor_55,15.22181,3.90151,2.89894,0.83596
MLPRegressor_56,18.30564,4.27851,3.18916,0.78871
MLPRegressor_57,23.99438,4.89841,3.76279,0.73584
MLPRegressor_58,16.23481,4.02924,3.12398,0.82382
MLPRegressor_59,26.12925,5.11168,4.03807,0.73685
MLPRegressor_60,26.52064,5.14982,3.98894,0.73613
MLPRegressor_61,31.59944,5.62134,4.46129,0.64500
MLPRegressor_62,21.81591,4.67075,3.47290,0.80320
MLPRegressor_63,16.68398,4.08460,3.19144,0.79939
MLPRegressor_64,22.00522,4.69097,3.52741,0.77099
MLPRegressor_65,26.71947,5.16909,3.89818,0.73585
MLPRegressor_66,26.01337,5.10033,4.05222,0.73988
MLPRegressor_67,30.32661,5.50696,4.31975,0.65255
MLPRegressor_68,24.95681,4.99568,3.82560,0.74532
MLPRegressor_69,28.85138,5.37135,4.07825,0.69826
MLPRegressor_70,25.67494,5.06704,3.85948,0.75159
MLPRegressor_71,30.33162,5.50741,4.33325,0.68946
MLPRegressor_72,20.36770,4.51306,3.44031,0.78881
MLPRegressor_73,24.44430,4.94412,3.66697,0.75464
MLPRegressor_74,28.02676,5.29403,4.18694,0.71503
MLPRegressor_75,24.40167,4.93980,3.63195,0.76159
MLPRegressor_76,22.12617,4.70385,3.74113,0.78169
MLPRegressor_77,28.34861,5.32434,4.23831,0.71491
MLPRegressor_78,21.97095,4.68732,3.59890,0.75317
MLPRegressor_79,21.14024,4.59785,3.51196,0.79502
MLPRegressor_80,24.55938,4.95574,3.69666,0.73536
MLPRegressor_81,27.24860,5.22002,3.96172,0.70563
MLPRegressor_82,17.12971,4.13881,3.24148,0.83722
MLPRegressor_83,26.94677,5.19103,3.88341,0.70421
MLPRegressor_84,17.95025,4.23677,3.30363,0.82055
MLPRegressor_85,27.10352,5.20610,4.05568,0.69852
MLPRegressor_86,17.53653,4.18766,3.29532,0.82141
MLPRegressor_87,29.53394,5.43451,4.38081,0.71811
MLPRegressor_88,18.72177,4.32687,3.40169,0.80383
MLPRegressor_89,20.64264,4.54342,3.45289,0.75081
MLPRegressor_90,20.30514,4.50612,3.51766,0.77890
MLPRegressor_91,19.94381,4.46585,3.26671,0.77081
MLPRegressor_92,17.60568,4.19591,3.18072,0.79929
MLPRegressor_93,25.06559,5.00655,3.83674,0.73731
MLPRegressor_94,26.33562,5.13182,4.09617,0.71592
MLPRegressor_95,28.76369,5.36318,4.28601,0.71568
MLPRegressor_96,18.02726,4.24585,3.30587,0.79625
MLPRegressor_97,19.22227,4.38432,3.39260,0.81396
MLPRegressor_98,17.72471,4.21007,3.22467,0.82133
MLPRegressor_99,30.27722,5.50247,3.95326,0.69969
RandomForestRegressor_0,1.93938,1.39262,0.79548,0.97844
RandomForestRegressor_1,1.47338,1.21383,0.74452,0.98099
RandomForestRegressor_2,2.18211,1.47720,0.82295,0.97692
RandomForestRegressor_3,1.72335,1.31277,0.74787,0.98032
RandomForestRegressor_4,1.27555,1.12940,0.63631,0.98439
RandomForestRegressor_5,2.16574,1.47165,0.83421,0.97903
RandomForestRegressor_6,2.00896,1.41738,0.79333,0.97747
RandomForestRegressor_7,2.02402,1.42268,0.81809,0.97696
RandomForestRegressor_8,1.70961,1.30752,0.78157,0.97897
RandomForestRegressor_9,1.90008,1.37843,0.74517,0.98038
RandomForestRegressor_10,1.86677,1.36630,0.74731,0.98150
RandomForestRegressor_11,2.31104,1.52021,0.86733,0.97239
RandomForestRegressor_12,2.77760,1.66661,0.90556,0.96837
RandomForestRegressor_13,1.75406,1.32441,0.70159,0.98149
RandomForestRegressor_14,1.86385,1.36523,0.77028,0.98091
RandomForestRegressor_15,2.26645,1.50547,0.82997,0.97612
RandomForestRegressor_16,1.56641,1.25156,0.71526,0.98041
RandomForestRegressor_17,2.32436,1.52459,0.81744,0.97535
RandomForestRegressor_18,2.03169,1.42537,0.79075,0.97745
RandomForestRegressor_19,1.84598,1.35867,0.80401,0.98092
RandomForestRegressor_20,2.56305,1.60095,0.87582,0.97346
RandomForestRegressor_21,1.69001,1.30000,0.74168,0.97976
RandomForestRegressor_22,2.16042,1.46984,0.83021,0.97577
RandomForestRegressor_23,1.95308,1.39753,0.79257,0.97842
RandomForestRegressor_24,1.76019,1.32672,0.70532,0.98166
RandomForestRegressor_25,1.73113,1.31573,0.75387,0.98019
RandomForestRegressor_26,1.96226,1.40081,0.74177,0.97904
RandomForestRegressor_27,2.00448,1.41580,0.76949,0.97887
RandomForestRegressor_28,1.98748,1.40978,0.81482,0.97695
RandomForestRegressor_29,2.68879,1.63975,0.98312,0.96848
RandomForestRegressor_30,2.01224,1.41854,0.81715,0.97816
RandomForestRegressor_31,2.21508,1.48831,0.83691,0.97624
RandomForestRegressor_32,1.76043,1.32681,0.78287,0.97816
RandomForestRegressor_33,2.26820,1.50606,0.91419,0.97361
RandomForestRegressor_34,2.31151,1.52037,0.86725,0.97599
RandomForestRegressor_35,1.87454,1.36914,0.79234,0.97985
RandomForestRegressor_36,1.96745,1.40266,0.76270,0.97698
RandomForestRegressor_37,1.77651,1.33286,0.77972,0.98063
RandomForestRegressor_38,2.36484,1.53780,0.82279,0.97377
RandomForestRegressor_39,2.20019,1.48330,0.84669,0.97638
RandomForestRegressor_40,1.58015,1.25704,0.69045,0.98160
RandomForestRegressor_41,1.32121,1.14944,0.64191,0.98461
RandomForestRegressor_42,2.23285,1.49427,0.84894,0.97601
RandomForestRegressor_43,1.69699,1.30269,0.75793,0.97857
RandomForestRegressor_44,2.40923,1.55217,0.85903,0.97326
RandomForestRegressor_45,2.19861,1.48277,0.83810,0.97779
RandomForestRegressor_46,1.99035,1.41080,0.82694,0.97867
RandomForestRegressor_47,2.07829,1.44163,0.83623,0.97766
RandomForestRegressor_48,3.25327,1.80368,0.99335,0.96748
RandomForestRegressor_49,1.71655,1.31017,0.73889,0.98040
RandomForestRegressor_50,2.09857,1.44864,0.82909,0.97578
RandomForestRegressor_51,1.62228,1.27369,0.74484,0.98043
RandomForestRegressor_52,2.82329,1.68026,0.93333,0.96723
